email,role,createdAt
admin@empresa.com,ADMIN,1772095358614
meghan20@hotmail.com,MANAGER,1772095358629
todd55@hotmail.com,USER,1772095358640
mindy88@hotmail.com,ADMIN,1772095358647
pansy_hauck68@hotmail.com,USER,1772095358655
rene_kling5@yahoo.com,ADMIN,1772095358663
tabitha_buckridge@gmail.com,ADMIN,1772095358670
joey55@hotmail.com,ADMIN,1772095358679
rosalia.abernathy@hotmail.com,MANAGER,1772095358687
daryl_wunsch@yahoo.com,MANAGER,1772095358694
roman.wolf@yahoo.com,USER,1772095358702
simone_harvey99@hotmail.com,ADMIN,1772095358709
barbara59@hotmail.com,MANAGER,1772095358717
dale.mayer32@hotmail.com,USER,1772095358725
miller.prohaska-schumm80@yahoo.com,USER,1772095358731
clifford47@yahoo.com,MANAGER,1772095358738
tanya.murphy73@gmail.com,MANAGER,1772095358746
alan.renner28@yahoo.com,ADMIN,1772095358753
elaine32@yahoo.com,ADMIN,1772095358764
ken.effertz@gmail.com,MANAGER,1772095358771
raquel_cummings73@gmail.com,ADMIN,1772095358777
britney_daugherty79@gmail.com,ADMIN,1772095358784
hilda3@hotmail.com,ADMIN,1772095358790
celia34@gmail.com,ADMIN,1772095358797
elvira_williamson@gmail.com,MANAGER,1772095358804
murl.walsh62@hotmail.com,ADMIN,1772095358811
tiara_klein@yahoo.com,ADMIN,1772095358817
maggie.jaskolski85@gmail.com,USER,1772095358825
reece97@hotmail.com,USER,1772095358831
alyssa17@yahoo.com,USER,1772095358838
maryam.gleichner65@gmail.com,MANAGER,1772095358844
cassandra.nicolas23@yahoo.com,USER,1772095358851
tamara_lubowitz@gmail.com,ADMIN,1772095358857
ara3@gmail.com,MANAGER,1772095358864
dean_stiedemann22@gmail.com,MANAGER,1772095358870
jacob.lakin@hotmail.com,ADMIN,1772095358877
linnie.lesch92@hotmail.com,MANAGER,1772095358884
lucas80@yahoo.com,USER,1772095358891
alonzo.rau@yahoo.com,MANAGER,1772095358899
stuart74@gmail.com,USER,1772095358906
darrin65@gmail.com,USER,1772095358912
deangelo_maggio90@hotmail.com,MANAGER,1772095358919
darian.gorczany@yahoo.com,ADMIN,1772095358925
tracey_cremin@yahoo.com,USER,1772095358932
rachael.beatty@hotmail.com,USER,1772095358939
kristina0@yahoo.com,MANAGER,1772095358946
jerry_stehr64@yahoo.com,MANAGER,1772095358952
martha56@hotmail.com,USER,1772095358959
delores7@hotmail.com,USER,1772095358966
cora.roob64@yahoo.com,USER,1772095358972
import1@test.com,USER,1772096248580
import2@test.com,ADMIN,1772096248580
